host,project_name,serial,dataset_name,model_name,freeze_backbone,model_name_teacher,selector,tgda,pretrained,ckpt_path_teacher,square_resize_random_crop,cont_loss,cont_temp,loss_cont_weight,pooling_function,lr,base_lr,opt,weight_decay,seed,epochs,image_size,batch_size,num_images_train,num_images_val,val_acc,val_loss,train_acc,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
buyatti,KD_TGDA,25,cars,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cars_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,8144,8041,88.46,2.993,98.85,4.221,1503.4959,6.168,1.3618,61.0491,5.6383,
server-3090,KD_TGDA,25,cub,vit_t16,,resnet101,cal,True,False,/hdd/edwin/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,5994,5794,52.23,2.629,99.23,4.024,1579.5505,4.9219,1.2474,61.2356,5.5626,
vsplab-DGX-Station-A100,KD_TGDA,25,cub,vitfs_tiny_patch16_gap_reg4_dinov2,,resnet101,cal,True,False,/Desktop/CodeFolder/results_backbones/serial15_ckpts/cub_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,224,8,5994,5794,76.8,2.356,98.9,3.791,1254.2499,4.8418,1.3618,61.312,5.639,
pc427-08,KD_TGDA,26,cars,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,87.75,1.348,97.86,0.929,672.3732,1.9961,7.5074,5.6383,5.6383,
pc427-08,KD_TGDA,26,cub,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,73.85,1.948,98.15,0.932,343.5779,1.9961,7.5075,5.639,5.639,
pc427-08,KD_TGDA,27,aircraft,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,87.94,1.282,97.85,0.851,740.8585,2.0,7.5074,5.6197,5.6197,
pc427-08,KD_TGDA,27,cub,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,5994,5794,70.83,1.987,96.91,0.985,346.1405,1.9961,7.5075,5.639,5.639,
camel.ee.nctu.edu.tw,KD_TGDA,28,aircraft,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,83.47,1.456,98.08,0.848,150.989,2.1758,7.5074,5.6197,5.6197,
camel.ee.nctu.edu.tw,KD_TGDA,28,cars,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,8144,8041,80.85,1.608,97.15,0.952,183.6108,2.0527,7.5074,5.6383,5.6383,
camel.ee.nctu.edu.tw,KD_TGDA,29,aircraft,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,6667,3333,78.4,1.777,99.14,0.812,585.0723,2.1758,7.5074,5.6197,5.6197,
camel.ee.nctu.edu.tw,KD_TGDA,29,cars,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,8144,8041,81.41,1.741,98.99,0.89,709.8347,2.0391,7.5074,5.6383,5.6383,
camel.ee.nctu.edu.tw,KD_TGDA,29,cub,vitfs_tiny_patch16_gap_reg4_dinov2,,,,False,False,,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,800,448,8,5994,5794,58.28,2.904,99.07,0.892,525.5072,2.0898,7.5075,5.639,5.639,
gpu,CTGDA,31,aircraft,resnet18,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,92.92,0.323,100.0,0.037,222.9517,7.4844,7.2642,60.3472,11.2278,
gpu,CTGDA,31,aircraft,resnet34,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,92.47,0.342,100.0,0.034,299.0442,7.5273,14.668,70.4553,21.336,
gpu,CTGDA,31,aircraft,resnet50,,resnet101,cal,False,True,/home2/video/edwin/results_backbones/serial15_ckpts/aircraft_tv_resnet101_cal_is448.pth,True,False,0.07,1,gap,0.0005,,adamw,0.05,0,200,448,8,6667,3333,93.79,0.281,100.0,0.029,380.8434,8.8691,16.3932,72.8323,23.7129,
